"Player","Team","Position","Year","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned","+/-","GP","FRTDY","Int","IntYd","Sk","SkY","Tk","Stf","StY","Sft","RtTY","BFGTDY","TD"
"Oruwariye, Amani","PSU","DB","Sr","83","FA","App Sat 3:30PM","81.7","7.43","6","-","-","11","0","4","17","0.0","0","28","0","0","0","0","0","0"
"Barry, Mohamed","Neb","LB","Jr","84","FA","Akr Sat 8:00PM","78.5","7.14","9","-","-","11","0","0","0","0.0","0","38","1","1","0","0","0","0"
"Bateky, Jon","Rut","DL","Sr","85","FA","TxSt Sat 12:00PM","77.5","8.61","9","-","-","9","0","0","0","1.5","7","28","3.5","10","0","0","0","0"
"Jackson, Lamar","Neb","DB","Jr","86","FA","Akr Sat 8:00PM","76","6.91","9","-","-","11","0","0","0","0.0","0","38","0","0","0","0","0","0"
"Stoltenberg, Mick","Neb","DL","Sr","87","FA","Akr Sat 8:00PM","75.5","6.86","9","-","-","11","0","0","0","0.0","0","33","3.5","5","0","0","0","0"
"Scott, Nick","PSU","DB","Sr","88","FA","App Sat 3:30PM","75.3","6.27","6","-","-","12","13","0","0","0.0","0","32","1.5","2","0","0","0","1"
"Morrissey, Matt","MSU","DB","Sr","89","FA","UtSt Fri 7:00PM","75","7.5","3","-","-","10","0","0","0","0.0","0","35","1.5","4","0","0","0","0"
"Scott, Josiah","MSU","DB","So","90","FA","UtSt Fri 7:00PM","75","6.25","3","-","-","12","0","2","0","0.0","0","30","1","2","0","0","0","0"
"Long, David","Mich","DB","Jr","91","FA","@ND Sat 7:30PM","74.5","6.77","9","-","-","11","0","2","105","0.5","7","19","2","9","0","0","0","0"
"Sagapolu, Olive","Wisc","DL","Sr","92","FA","W Ky Fri 9:00PM","74.5","6.77","5","-","-","11","0","0","0","3.0","21","17","3.5","22","0","0","0","0"
"Miller, Alex","NW","DL","Jr","93","FA","@Purd Thu 8:00PM","74","6.17","4","-","-","12","0","0","0","2.0","16","21","3.5","18","0","0","0","0"
"Wharton, Isaiah","Rut","DB","Sr","94","FA","TxSt Sat 12:00PM","74","6.17","9","-","-","12","0","0","0","0.0","0","36","0.5","2","0","0","0","0"
"Neal, Lorenzo","Purd","DL","Jr","95","FA","NW Thu 8:00PM","73","7.3","6","-","-","10","0","0","0","2.0","10","21","5.5","14","0","0","0","0"
"Young, Chase","OHSt","DL","So","96","FA","OreSt Sat 12:00PM","73","8.11","9","-","-","9","0","0","0","2.5","11","18","5","23","0","0","0","0"
"Barwick, Mike","Ind","DL","Sr","97","FA","@FLInt Sat 7:00PM","72","6.55","10","-","-","11","0","0","0","2.0","8","24","3","12","0","0","0","0"
"Kulka, Brett","MD","DL","Sr","98","FA","Tex Sat 12:00PM","71","7.89","5","-","-","9","0","0","0","0.0","0","30","4","6","0","0","0","0"
"Simmons, Antjuan","MSU","LB","So","99","FA","UtSt Fri 7:00PM","69.5","5.79","3","-","-","12","0","0","0","0.0","0","33","1.5","1","0","0","0","0"
"Gallagher, Blake","NW","LB","So","100","FA","@Purd Thu 8:00PM","68.5","6.23","4","-","-","11","0","0","0","0.0","0","33","1","1","0","0","0","0"
"Dismuke, Marquel","Neb","DB","So","101","FA","Akr Sat 8:00PM","68","8.5","9","-","-","8","0","0","0","0.0","0","34","0","0","0","0","0","0"
"Hampton, Saquan","Rut","DB","Sr","102","FA","TxSt Sat 12:00PM","68","9.71","9","-","-","7","0","0","0","0.0","0","34","0","0","0","0","0","0"
"Gay, Isaiah","Ill","DL","So","103","FA","Kent Sat 12:00PM","67","7.44","5","-","-","9","0","0","0","1.0","13","20","4","17","0","0","0","0"
